doi,orcid_search,orcid_index,work_index,title,work_type,publication_year,source_display_name,work_id,work_display_name,authorships,abstract,publication_date,fwci,cited_by_count,counts_by_year,cited_by_api_url,ids,is_oa,is_oa_anywhere,oa_status,oa_url,any_repository_has_fulltext,source_id,issn_l,host_organization,host_organization_name,landing_page_url,pdf_url,version,referenced_works,referenced_works_count,related_works,concepts,topics,keywords,is_paratext,is_retracted,language,grants,apc,first_page,last_page,volume,issue,work_license,policyid_names,article_version,conditions,oa_fee,location,prerequisites,embargo_units,embargo_amount,embargo,license
https://doi.org/10.1007/s00454-025-00735-4,0000-0002-2189-4942,7,1,Connecting 3-Manifold Triangulations with Unimodal Sequences of Elementary Moves,article,2025,Discrete & Computational Geometry,https://openalex.org/W4409729811,Connecting 3-Manifold Triangulations with Unimodal Sequences of Elementary Moves,NA,NA,2025-04-23,0,0,NA,https://api.openalex.org/works?filter=cites:W4409729811,NA,FALSE,FALSE,closed,NA,FALSE,https://openalex.org/S103671469,0179-5376,https://openalex.org/P4310319900,Springer Science+Business Media,https://doi.org/10.1007/s00454-025-00735-4,NA,NA,NA,16,NA,NA,NA,NA,FALSE,FALSE,en,NA,NA,NA,NA,NA,NA,NA,7331,published,Publisher source must be acknowledged with citation,yes,non_commercial_website|this_journal,NA,NA,NA,No embargo,cc_by_nc_nd
https://doi.org/10.1007/s00454-025-00735-4,0000-0002-2189-4942,7,1,Connecting 3-Manifold Triangulations with Unimodal Sequences of Elementary Moves,article,2025,Discrete & Computational Geometry,https://openalex.org/W4409729811,Connecting 3-Manifold Triangulations with Unimodal Sequences of Elementary Moves,NA,NA,2025-04-23,0,0,NA,https://api.openalex.org/works?filter=cites:W4409729811,NA,FALSE,FALSE,closed,NA,FALSE,https://openalex.org/S103671469,0179-5376,https://openalex.org/P4310319900,Springer Science+Business Media,https://doi.org/10.1007/s00454-025-00735-4,NA,NA,NA,16,NA,NA,NA,NA,FALSE,FALSE,en,NA,NA,NA,NA,NA,NA,NA,7331,published,Publisher source must be acknowledged with citation,yes,any_website|this_journal,NA,NA,NA,No embargo,cc_by
https://doi.org/10.1007/s00454-025-00735-4,0000-0002-2189-4942,7,1,Connecting 3-Manifold Triangulations with Unimodal Sequences of Elementary Moves,article,2025,Discrete & Computational Geometry,https://openalex.org/W4409729811,Connecting 3-Manifold Triangulations with Unimodal Sequences of Elementary Moves,NA,NA,2025-04-23,0,0,NA,https://api.openalex.org/works?filter=cites:W4409729811,NA,FALSE,FALSE,closed,NA,FALSE,https://openalex.org/S103671469,0179-5376,https://openalex.org/P4310319900,Springer Science+Business Media,https://doi.org/10.1007/s00454-025-00735-4,NA,NA,NA,16,NA,NA,NA,NA,FALSE,FALSE,en,NA,NA,NA,NA,NA,NA,NA,7331,accepted,Publisher copyright and source must be acknowledged|Must link to published article with DOI,no,non_commercial_repository,NA,months,12,12 months,NA
https://doi.org/10.1007/s00454-025-00735-4,0000-0002-2189-4942,7,1,Connecting 3-Manifold Triangulations with Unimodal Sequences of Elementary Moves,article,2025,Discrete & Computational Geometry,https://openalex.org/W4409729811,Connecting 3-Manifold Triangulations with Unimodal Sequences of Elementary Moves,NA,NA,2025-04-23,0,0,NA,https://api.openalex.org/works?filter=cites:W4409729811,NA,FALSE,FALSE,closed,NA,FALSE,https://openalex.org/S103671469,0179-5376,https://openalex.org/P4310319900,Springer Science+Business Media,https://doi.org/10.1007/s00454-025-00735-4,NA,NA,NA,16,NA,NA,NA,NA,FALSE,FALSE,en,NA,NA,NA,NA,NA,NA,NA,7331,submitted,NA,NA,any_website,NA,NA,NA,No embargo,NA
https://doi.org/10.1007/s41468-021-00076-0,0000-0002-2189-4942,7,10,On the hardness of finding normal surfaces,article,2021,Journal of Applied and Computational Topology,https://openalex.org/W3198811666,On the hardness of finding normal surfaces,NA,NA,2021-09-06,0,0,NA,https://api.openalex.org/works?filter=cites:W3198811666,NA,FALSE,TRUE,green,https://arxiv.org/pdf/1912.09051,TRUE,https://openalex.org/S4210173698,2367-1734,https://openalex.org/P4310319900,Springer Science+Business Media,https://doi.org/10.1007/s41468-021-00076-0,NA,NA,NA,17,NA,NA,NA,NA,FALSE,FALSE,en,NA,NA,583,619,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://doi.org/10.1016/j.ijft.2023.100283,0000-0003-1096-4973,8,1,Thermo-hydrodynamic performance evaluation of double-dimpled corrugated tube using single and hybrid nanofluids,article,2023,International Journal of Thermofluids,https://openalex.org/W4315618868,Thermo-hydrodynamic performance evaluation of double-dimpled corrugated tube using single and hybrid nanofluids,NA,"In the present study, the influence of nanofluids has been analyzed in spherical double-dimpled surfaces on heat transfer and pressure drop characteristics. The primary purpose is to assess the thermo-hydrodynamic performance of both single and hybrid nanofluids in terms of varying Reynolds numbers and nanoparticle volume concentrations in a double-dimpled pipe. In the double-dimpled corrugated design, the smooth flow is interrupted, allowing small whirlpool zones to form and generating turbulence, which boosts heat exchanger efficiency and prevents particles from dropping out of suspension. The unique design of corrugation enhances heat transfer, allowing for a smaller heat exchanger. Corrugated heat exchangers can be half the size of smooth ones, depending on the application where compact size is required in operation of industries. Assuming a constant and uniform heat flux of 10,000 W/m2, the numerical simulations are conducted at Reynolds numbers ranging from 10,000 to 30,000. The research utilizes computational methods to assess the thermo-hydrodynamic performance of nanofluids (CuO/water, Al2O3/water, TiO2/water) and hybrid nanofluids (Al2O3CuO/water, Al2O3-TiO2/water), along with the effects of double-dimpled surfaces in the pipe with volume concentrations varying from 1% to 3%. The computational fluid dynamics solver is applied to analyze the effective properties of nanofluids based on models. There is a discussion on the results of heat transfer coefficient, temperature distributions, Nusselt number, pressure drop, and friction factors under various working conditions. Different nanoparticle compositions were shown to have a 20–25% higher heat transfer coefficient for the double-dimpled pipe in contrast to the smooth one. A higher Nusselt number is obtained owing to the complexity of the corrugations, that improves heat transfer and pressure drop with high volume fractions. As the performance evaluation criterion (PEC) for corrugated geometries is greater than unity, they can surpass smooth pipes. The 3% Al2O3CuO/water hybrid nanofluid was determined to be the top - performing nanofluid in the double-dimpled pipe flow, with a maximum thermal performance gain of 20.62%.",2023-01-11,6.844,41,NA,https://api.openalex.org/works?filter=cites:W4315618868,NA,TRUE,TRUE,gold,https://doi.org/10.1016/j.ijft.2023.100283,FALSE,https://openalex.org/S4210194017,2666-2027,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1016/j.ijft.2023.100283,NA,publishedVersion,NA,56,NA,NA,NA,NA,FALSE,FALSE,en,NA,NA,100283,100283,17,NA,cc-by-nc-nd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://doi.org/10.3390/buildings12122094,0000-0002-4057-2156,9,1,Data-Driven Analysis for Facility Management in Higher Education Institution,article,2022,Buildings,https://openalex.org/W4310376409,Data-Driven Analysis for Facility Management in Higher Education Institution,NA,"Planned Preventive Maintenance (PPM) and Unplanned Maintenance (UPM) are the most common types of facility maintenance. This paper analyzes current trends and status of Facility Management (FM) practice at higher education institutions by proposing a systematic data-driven methodology using Natural Language Process (NLP) approaches, statistical analysis, risk-profile analysis, and outlier analysis. This study utilizes a descriptive database entitled “Facility Management Unified Classification Database (FMUCD)” to conduct the systematic data-driven analyses. The 5-year data from 2015 to 2019 was collected from eight universities in North America. A preprocessing step included but was not limited to identifying common data attributes, cleaning noisy data, and removing unnecessary data. The outcomes of this study can facilitate the decision-making process by providing an understanding of various aspects of educational facility management trends and risks. The methodology developed gives decision makers of higher education institutions, including facility managers and institution administrators, effective strategies to establish long-term budgetary goals, which will lead to the enhancement of the asset value of the institutions.",2022-11-29,1.737,8,NA,https://api.openalex.org/works?filter=cites:W4310376409,NA,TRUE,TRUE,gold,https://www.mdpi.com/2075-5309/12/12/2094/pdf?version=1669720860,FALSE,https://openalex.org/S4210191137,2075-5309,https://openalex.org/P4310310987,Multidisciplinary Digital Publishing Institute,https://doi.org/10.3390/buildings12122094,https://www.mdpi.com/2075-5309/12/12/2094/pdf?version=1669720860,publishedVersion,NA,23,NA,NA,NA,NA,FALSE,FALSE,en,NA,NA,2094,2094,12,12,cc-by,487,submitted|accepted,Published source should be acknowledged with citation,no,any_website,NA,NA,NA,No embargo,cc_by
https://doi.org/10.3390/buildings12122094,0000-0002-4057-2156,9,1,Data-Driven Analysis for Facility Management in Higher Education Institution,article,2022,Buildings,https://openalex.org/W4310376409,Data-Driven Analysis for Facility Management in Higher Education Institution,NA,"Planned Preventive Maintenance (PPM) and Unplanned Maintenance (UPM) are the most common types of facility maintenance. This paper analyzes current trends and status of Facility Management (FM) practice at higher education institutions by proposing a systematic data-driven methodology using Natural Language Process (NLP) approaches, statistical analysis, risk-profile analysis, and outlier analysis. This study utilizes a descriptive database entitled “Facility Management Unified Classification Database (FMUCD)” to conduct the systematic data-driven analyses. The 5-year data from 2015 to 2019 was collected from eight universities in North America. A preprocessing step included but was not limited to identifying common data attributes, cleaning noisy data, and removing unnecessary data. The outcomes of this study can facilitate the decision-making process by providing an understanding of various aspects of educational facility management trends and risks. The methodology developed gives decision makers of higher education institutions, including facility managers and institution administrators, effective strategies to establish long-term budgetary goals, which will lead to the enhancement of the asset value of the institutions.",2022-11-29,1.737,8,NA,https://api.openalex.org/works?filter=cites:W4310376409,NA,TRUE,TRUE,gold,https://www.mdpi.com/2075-5309/12/12/2094/pdf?version=1669720860,FALSE,https://openalex.org/S4210191137,2075-5309,https://openalex.org/P4310310987,Multidisciplinary Digital Publishing Institute,https://doi.org/10.3390/buildings12122094,https://www.mdpi.com/2075-5309/12/12/2094/pdf?version=1669720860,publishedVersion,NA,23,NA,NA,NA,NA,FALSE,FALSE,en,NA,NA,2094,2094,12,12,cc-by,487,published,Published source should be acknowledged with citation,no,any_website|this_journal,NA,NA,NA,No embargo,cc_by
https://doi.org/10.1016/j.dib.2024.110845,0000-0002-4057-2156,9,2,Comprehensive maintenance dataset of building facilities for planned preventive and unplanned maintenance in North American universities,article,2024,Data in Brief,https://openalex.org/W4401821192,Comprehensive maintenance dataset of building facilities for planned preventive and unplanned maintenance in North American universities,NA,NA,2024-08-23,1.564,1,NA,https://api.openalex.org/works?filter=cites:W4401821192,NA,TRUE,FALSE,closed,https://doi.org/10.1016/j.dib.2024.110845,FALSE,https://openalex.org/S2481029507,2352-3409,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1016/j.dib.2024.110845,NA,publishedVersion,NA,6,NA,NA,NA,NA,FALSE,FALSE,en,NA,NA,110845,110845,57,NA,cc-by-nc,2252,submitted|accepted,Publisher source must be acknowledged with citation|Must link to publisher version with DOI,no,any_website|named_repository,NA,NA,NA,No embargo,cc_by
https://doi.org/10.1016/j.dib.2024.110845,0000-0002-4057-2156,9,2,Comprehensive maintenance dataset of building facilities for planned preventive and unplanned maintenance in North American universities,article,2024,Data in Brief,https://openalex.org/W4401821192,Comprehensive maintenance dataset of building facilities for planned preventive and unplanned maintenance in North American universities,NA,NA,2024-08-23,1.564,1,NA,https://api.openalex.org/works?filter=cites:W4401821192,NA,TRUE,FALSE,closed,https://doi.org/10.1016/j.dib.2024.110845,FALSE,https://openalex.org/S2481029507,2352-3409,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1016/j.dib.2024.110845,NA,publishedVersion,NA,6,NA,NA,NA,NA,FALSE,FALSE,en,NA,NA,110845,110845,57,NA,cc-by-nc,2252,submitted|accepted,Publisher source must be acknowledged with citation|Must link to publisher version with DOI,no,named_repository|non_commercial_repository|non_commercial_website,NA,NA,NA,No embargo,cc_by_nc_nd
